device_code,predict_start_time,predict_start_per,daily_decline_rate,annual_decline_rate,mid_gain,big_gain,mid_interval_days,big_interval_days,predicted_failure_date,remaining_life_days,failure_reason
A1,2026-04-10,92.5735,-0.346471,-126.461915,23.912,12.001,73,347,2036-04-07,3650,预测窗口内未达到失效阈值
A10,2026-04-11,49.6715,-0.403589,-147.309985,15.9308,13.4807,74,262,2027-04-10,364,年平均透水率低于37且计划维护后仍无法恢复
A2,2026-04-10,42.7227,-0.354568,-129.41732,16.2065,21.3082,81,58,2036-04-07,3650,预测窗口内未达到失效阈值
A3,2026-04-10,79.4472,-0.389066,-142.00909,19.548,14.5777,68,138,2036-04-07,3650,预测窗口内未达到失效阈值
A4,2026-04-10,108.2131,-0.335858,-122.58817,23.606,16.5849,54,218,2036-04-07,3650,预测窗口内未达到失效阈值
A5,2026-04-10,84.1409,-0.365808,-133.51992,17.4517,5.1588,62,218,2029-04-08,1094,年平均透水率低于37且计划维护后仍无法恢复
A6,2026-04-10,80.6141,-0.390208,-142.42592,26.7085,24.4785,73,105,2036-04-07,3650,预测窗口内未达到失效阈值
A7,2026-04-10,63.9129,-0.355206,-129.65019,15.7778,23.5322,68,298,2028-04-08,729,年平均透水率低于37且计划维护后仍无法恢复
A8,2026-04-10,60.6649,-0.365275,-133.325375,15.2176,16.5849,56,218,2029-04-08,1094,年平均透水率低于37且计划维护后仍无法恢复
A9,2026-04-10,82.7389,-0.34679,-126.57835,18.4534,18.142,63,321,2036-04-07,3650,预测窗口内未达到失效阈值
