device_code,predict_start_time,predict_start_per,daily_decline_rate,annual_decline_rate,mid_freq_per_year,big_freq_per_year,predicted_failure_date,remaining_life_days,failure_reason
A1,2026-04-10,92.5735,-0.346471,-126.461915,5.5471,1.1094,2036-04-07,3650,预测窗口内未达到失效阈值
A10,2026-04-11,49.6715,-0.403589,-147.309985,5.4478,1.6343,2030-04-09,1459,年平均透水率低于37且当年最后一次计划维护后仍无法恢复
A2,2026-04-10,42.7227,-0.354568,-129.41732,5.0851,1.695,2036-04-07,3650,年平均透水率低于37且当年最后一次计划维护后仍无法恢复
A3,2026-04-10,79.4472,-0.389066,-142.00909,5.9393,1.0799,2036-04-07,3650,预测窗口内未达到失效阈值
A4,2026-04-10,108.2131,-0.335858,-122.58817,7.2665,0.1,2036-04-07,3650,预测窗口内未达到失效阈值
A5,2026-04-10,84.1409,-0.365808,-133.51992,6.4035,0.5336,2036-04-07,3650,预测窗口内未达到失效阈值
A6,2026-04-10,80.6141,-0.390208,-142.42592,5.5556,1.1111,2036-04-07,3650,预测窗口内未达到失效阈值
A7,2026-04-10,63.9129,-0.355206,-129.65019,5.9393,1.0799,2036-04-07,3650,预测窗口内未达到失效阈值
A8,2026-04-10,60.6649,-0.365275,-133.325375,7.1139,0.1,2036-04-07,3650,预测窗口内未达到失效阈值
A9,2026-04-10,82.7389,-0.34679,-126.57835,5.9836,1.0879,2036-04-07,3650,预测窗口内未达到失效阈值
