设备编号,原始行数,无效时间数,透水率缺失数,重复时间数,IQR异常值数,IQR下界,IQR上界,异常值是否参与填充/删除,缺失值处理,清洗后缺失数,清洗后行数
A1,10839,0,457,0,408,55.161,131.2903,否，仅记录,删除缺失透水率记录,0,10382
A10,10743,0,379,0,5,16.3062,179.3632,否，仅记录,删除缺失透水率记录,0,10364
A2,11125,0,406,0,38,38.905,110.0243,否，仅记录,删除缺失透水率记录,0,10719
A3,11921,0,409,0,11,48.7281,136.0143,否，仅记录,删除缺失透水率记录,0,11512
A4,11675,0,445,0,779,50.5327,136.0127,否，仅记录,删除缺失透水率记录,0,11230
A5,12162,0,458,0,921,56.0063,137.6785,否，仅记录,删除缺失透水率记录,0,11704
A6,11806,0,462,0,3,8.8977,139.9602,否，仅记录,删除缺失透水率记录,0,11344
A7,11976,0,456,0,652,62.971,120.3349,否，仅记录,删除缺失透水率记录,0,11520
A8,11507,0,418,0,88,49.8388,141.3763,否，仅记录,删除缺失透水率记录,0,11089
A9,11223,0,455,0,7,46.3797,118.8349,否，仅记录,删除缺失透水率记录,0,10768
