month,mean,median,std,count,month_name
1,70.82910158009979,69.3720967635261,16.485643866341896,9241,1
2,77.32130174746017,76.2456316921586,17.970424188423863,5345,2
3,82.12669279183872,85.0919200183734,18.707557778961796,6385,3
4,87.24027183636194,87.3702092259713,21.73463382064387,9583,4
5,89.3808279763967,94.0550721287407,20.932301196840726,8575,5
6,98.70350719537775,98.7668034062394,18.838762508107667,10652,6
7,98.81735603074438,100.220296510752,13.907777982713734,7403,7
8,102.0013059450774,99.3918222817495,14.247027198034894,7465,8
9,100.33316120150789,98.0739427851456,14.860992182314286,11520,9
10,89.97480368004872,91.8502237769238,15.889865006299093,11576,10
11,83.04695800071795,84.0163683536208,14.186021692870654,11392,11
12,75.10804233796233,76.7273342780109,17.615455422460983,11495,12
