时间,透水率,设备编号,月份,季节
2024-04-03 01:00:05,91.1675352828242,A1,4,春
2024-04-03 02:00:05,90.4018843791765,A1,4,春
2024-04-03 03:00:05,91.1179873827929,A1,4,春
2024-04-03 04:00:05,90.932708579784,A1,4,春
2024-04-03 05:00:05,92.7236474921667,A1,4,春
2024-04-03 06:00:05,92.2953360044651,A1,4,春
2024-04-03 07:00:05,92.0961422672154,A1,4,春
2024-04-03 10:00:05,92.5599815394598,A1,4,春
2024-04-03 11:00:05,93.3368332725612,A1,4,春
2024-04-03 12:00:05,91.1065902488337,A1,4,春
2024-04-03 13:00:05,93.744476707111,A1,4,春
2024-04-03 14:00:05,91.5473093226147,A1,4,春
2024-04-03 15:00:05,91.4408286101177,A1,4,春
2024-04-03 16:00:05,93.0078575239181,A1,4,春
2024-04-03 17:00:05,93.1526121211164,A1,4,春
2024-04-03 18:00:05,89.4218948635839,A1,4,春
2024-04-03 19:00:05,91.4708084107437,A1,4,春
2024-04-03 20:00:05,92.1671760001324,A1,4,春
2024-04-03 21:00:05,91.434296803427,A1,4,春
2024-04-03 22:00:05,90.9723116219313,A1,4,春
2024-04-03 23:00:05,89.9642444254717,A1,4,春
2024-04-04 00:00:03,92.2557701179684,A1,4,春
2024-04-04 01:00:05,91.8684231607314,A1,4,春
2024-04-04 02:00:05,90.1275377246699,A1,4,春
2024-04-04 03:00:05,91.241076503742,A1,4,春
2024-04-04 11:00:05,92.0414895974537,A1,4,春
2024-04-04 12:00:05,91.7709828829389,A1,4,春
2024-04-04 13:00:05,92.0563422855133,A1,4,春
2024-04-04 14:00:05,91.9404097565227,A1,4,春
2024-04-04 15:00:05,92.4883071989313,A1,4,春
2024-04-04 16:00:05,92.9196133865314,A1,4,春
2024-04-04 17:00:05,91.0269945617384,A1,4,春
2024-04-04 18:00:05,91.238027419625,A1,4,春
2024-04-04 21:00:05,91.3227284549983,A1,4,春
2024-04-04 22:00:05,97.7830550682122,A1,4,春
2024-04-05 04:00:05,92.1387205552924,A1,4,春
2024-04-05 05:00:05,90.4605215019764,A1,4,春
2024-04-05 06:00:05,90.9131806376927,A1,4,春
2024-04-05 07:00:05,92.0391699348509,A1,4,春
2024-04-05 08:00:05,89.5023230778206,A1,4,春
2024-04-05 09:00:05,90.1270814542184,A1,4,春
2024-04-05 10:00:05,92.8884072881688,A1,4,春
2024-04-05 15:00:05,90.8070833214831,A1,4,春
2024-04-05 16:00:05,91.5446338337826,A1,4,春
2024-04-05 17:00:05,91.7230910601647,A1,4,春
2024-04-05 18:00:05,93.0048308116015,A1,4,春
2024-04-05 19:00:05,90.6565035853232,A1,4,春
2024-04-05 20:00:05,89.6457178980479,A1,4,春
2024-04-05 21:00:05,90.8224575073004,A1,4,春
2024-04-05 22:00:05,89.6277624420024,A1,4,春
2024-04-05 23:00:05,92.6559746281043,A1,4,春
2024-04-06 00:00:02,93.9751329806363,A1,4,春
2024-04-06 01:00:05,90.6692306406003,A1,4,春
2024-04-06 02:00:05,92.8859162783107,A1,4,春
2024-04-06 03:00:05,88.4604479407618,A1,4,春
2024-04-06 04:00:05,89.5921538976998,A1,4,春
2024-04-06 05:00:05,92.1383254362577,A1,4,春
2024-04-06 06:00:05,89.6984254451485,A1,4,春
2024-04-06 18:00:05,90.5166046034205,A1,4,春
2024-04-06 20:00:05,91.619532861388,A1,4,春
2024-04-06 21:00:05,91.1399303253411,A1,4,春
2024-04-09 11:00:05,90.0818474118127,A1,4,春
2024-04-09 12:00:05,90.5920634434511,A1,4,春
2024-04-09 13:00:05,90.9522892425552,A1,4,春
2024-04-09 14:00:05,89.0632008450645,A1,4,春
2024-04-09 15:00:05,91.0925420316914,A1,4,春
2024-04-09 16:00:05,90.0291747352766,A1,4,春
2024-04-09 17:00:05,92.7660938508625,A1,4,春
2024-04-09 18:00:05,89.9627937369532,A1,4,春
2024-04-09 19:00:05,89.6858799296977,A1,4,春
2024-04-09 20:00:05,92.1415430364682,A1,4,春
2024-04-09 21:00:05,89.5069401367065,A1,4,春
2024-04-09 22:00:05,91.0816251793885,A1,4,春
2024-04-09 23:00:05,90.9979400197454,A1,4,春
2024-04-10 00:00:01,90.8327952455884,A1,4,春
2024-04-10 01:00:05,89.2044286947633,A1,4,春
2024-04-10 02:00:05,90.13052322145,A1,4,春
2024-04-10 03:00:05,92.7599141745277,A1,4,春
2024-04-10 04:00:05,92.3843849080402,A1,4,春
2024-04-10 05:00:05,88.4715911554195,A1,4,春
2024-04-10 06:00:05,89.563822681094,A1,4,春
2024-04-10 07:00:05,88.2909194136528,A1,4,春
2024-04-10 08:00:05,90.9390878023105,A1,4,春
2024-04-10 10:00:05,90.7597602608975,A1,4,春
2024-04-10 11:00:05,88.9790568706803,A1,4,春
2024-04-10 12:00:05,89.8046328917193,A1,4,春
2024-04-10 13:00:05,91.6369989968474,A1,4,春
2024-04-10 14:00:05,88.9613152063807,A1,4,春
2024-04-10 15:00:05,90.1356702688894,A1,4,春
2024-04-10 16:00:05,90.5673580999063,A1,4,春
2024-04-10 17:00:05,90.4737860094832,A1,4,春
2024-04-10 18:00:05,91.0393039942478,A1,4,春
2024-04-10 21:00:05,89.4077501978901,A1,4,春
2024-04-10 22:00:05,89.5914662785556,A1,4,春
2024-04-10 23:00:05,87.6656390834741,A1,4,春
2024-04-11 00:00:00,91.4416461991439,A1,4,春
2024-04-11 01:00:05,90.7878613574658,A1,4,春
2024-04-11 02:00:05,91.6611974792798,A1,4,春
2024-04-11 03:00:05,88.6752073257407,A1,4,春
2024-04-11 04:00:05,89.8536715425717,A1,4,春
2024-04-11 05:00:05,91.5093512480654,A1,4,春
2024-04-11 06:00:05,90.3891347851812,A1,4,春
2024-04-11 07:00:05,89.2519169651333,A1,4,春
2024-04-11 08:00:05,90.2507265494445,A1,4,春
2024-04-11 09:00:05,89.3773272844829,A1,4,春
2024-04-11 12:00:05,89.0648163351851,A1,4,春
2024-04-12 00:00:00,89.3937877750979,A1,4,春
2024-04-12 01:00:05,90.1858426427642,A1,4,春
2024-04-12 02:00:05,89.934246080674,A1,4,春
2024-04-12 03:00:05,88.3141647509684,A1,4,春
2024-04-12 04:00:05,89.506518301761,A1,4,春
2024-04-12 06:00:05,90.3213760752317,A1,4,春
2024-04-12 07:00:05,90.7713084947925,A1,4,春
2024-04-12 08:00:05,88.7360725833458,A1,4,春
2024-04-12 10:00:06,90.5006850126739,A1,4,春
2024-04-12 11:00:06,88.2163108708178,A1,4,春
2024-04-12 12:00:09,88.0629271262782,A1,4,春
2024-04-12 13:00:09,89.38657726152,A1,4,春
2024-04-12 14:00:09,87.1990550612506,A1,4,春
2024-04-12 15:00:09,90.0328580090672,A1,4,春
2024-04-12 16:00:09,87.0777646216212,A1,4,春
2024-04-12 17:00:09,89.4992839992283,A1,4,春
2024-04-12 18:00:09,90.0624684962103,A1,4,春
2024-04-12 19:00:09,89.4826734844616,A1,4,春
2024-04-12 20:00:09,88.6306520668675,A1,4,春
2024-04-12 21:00:09,90.2556126664386,A1,4,春
2024-04-12 22:00:09,89.4875306823053,A1,4,春
2024-04-12 23:00:09,87.8564225313932,A1,4,春
2024-04-13 00:00:01,89.2291045775512,A1,4,春
2024-04-13 01:00:09,88.5518310324244,A1,4,春
2024-04-13 02:00:09,90.3403164449807,A1,4,春
2024-04-13 03:00:09,90.5715276271071,A1,4,春
2024-04-13 04:00:09,88.2273213717205,A1,4,春
2024-04-13 05:00:09,88.6347600799347,A1,4,春
2024-04-13 06:00:09,90.8008780669252,A1,4,春
2024-04-13 07:00:09,87.4443377059888,A1,4,春
2024-04-13 08:00:09,89.2577038786524,A1,4,春
2024-04-13 09:00:09,89.4214995919143,A1,4,春
2024-04-13 10:00:09,91.0223248472157,A1,4,春
2024-04-13 11:00:09,91.083315591452,A1,4,春
2024-04-13 12:00:09,89.5709874481616,A1,4,春
2024-04-13 13:00:09,88.1966092003011,A1,4,春
2024-04-13 14:00:09,90.824374890752,A1,4,春
2024-04-13 15:00:09,91.440816230988,A1,4,春
2024-04-13 16:00:09,89.2258367231317,A1,4,春
2024-04-13 17:00:09,92.1953249805973,A1,4,春
2024-04-13 18:00:09,88.6401748026172,A1,4,春
2024-04-13 19:00:09,89.3003077363827,A1,4,春
2024-04-13 20:00:09,92.7555545521042,A1,4,春
2024-04-13 21:00:09,88.4562269735312,A1,4,春
2024-04-13 22:00:09,89.5546787169632,A1,4,春
2024-04-13 23:00:09,88.4873627464285,A1,4,春
2024-04-14 00:00:00,89.4119994133517,A1,4,春
2024-04-14 01:00:09,87.654376494618,A1,4,春
2024-04-14 02:00:09,90.9964858309507,A1,4,春
2024-04-14 03:00:09,89.9624031598232,A1,4,春
2024-04-14 04:00:09,86.9354134482592,A1,4,春
2024-04-14 05:00:09,92.3500922954434,A1,4,春
2024-04-14 06:00:09,92.1535136943103,A1,4,春
2024-04-14 07:00:09,89.9630092161747,A1,4,春
2024-04-14 08:00:09,88.818317485713,A1,4,春
2024-04-14 09:00:09,88.1846782015289,A1,4,春
2024-04-14 10:00:09,89.7572146600801,A1,4,春
2024-04-14 11:00:09,89.3551200510259,A1,4,春
2024-04-14 12:00:09,89.2256763346227,A1,4,春
2024-04-14 13:00:09,90.6981492876589,A1,4,春
2024-04-14 14:00:09,89.0018573712151,A1,4,春
2024-04-14 15:00:09,88.4129249161772,A1,4,春
2024-04-14 16:00:09,88.3089720950239,A1,4,春
2024-04-14 17:00:09,89.6756911640522,A1,4,春
2024-04-14 18:00:09,87.5249800486398,A1,4,春
2024-04-14 19:00:09,88.7023719851299,A1,4,春
2024-04-14 20:00:09,90.8267607651871,A1,4,春
2024-04-14 21:00:09,88.613597007725,A1,4,春
2024-04-14 22:00:09,89.0671733475724,A1,4,春
2024-04-14 23:00:09,89.5015378034911,A1,4,春
2024-04-15 00:00:00,89.193895995382,A1,4,春
2024-04-15 01:00:09,89.2194475895314,A1,4,春
2024-04-15 02:00:09,91.0998523670827,A1,4,春
2024-04-15 03:00:09,90.048881021295,A1,4,春
2024-04-15 04:00:09,88.3256212312714,A1,4,春
2024-04-15 05:00:09,85.5366360863228,A1,4,春
2024-04-15 06:00:09,88.6148626308343,A1,4,春
2024-04-15 07:00:09,87.4444631582555,A1,4,春
2024-04-15 08:00:09,89.1668635535568,A1,4,春
2024-04-15 09:00:09,89.1749044805659,A1,4,春
2024-04-15 10:00:09,98.2683314255655,A1,4,春
2024-04-15 11:00:09,88.5785466039044,A1,4,春
2024-04-16 01:00:09,90.0856604757172,A1,4,春
2024-04-16 02:00:09,90.1500394009036,A1,4,春
2024-04-16 03:00:09,89.9499634888208,A1,4,春
2024-04-16 04:00:09,86.869497306704,A1,4,春
2024-04-16 05:00:09,90.4319115438657,A1,4,春
2024-04-16 06:00:09,86.0838005251055,A1,4,春
2024-04-16 07:00:09,90.2848772288242,A1,4,春
2024-04-16 08:00:09,90.2747655276979,A1,4,春
2024-04-16 10:00:09,89.4667746841761,A1,4,春
2024-04-16 11:00:09,90.7098387370301,A1,4,春
2024-04-16 12:00:01,90.4430264775286,A1,4,春
2024-04-16 13:00:01,90.7332785466506,A1,4,春
2024-04-16 14:00:01,87.1659148305218,A1,4,春
2024-04-16 15:00:01,92.3878049530303,A1,4,春
2024-04-16 16:00:01,90.7617692382304,A1,4,春
2024-04-16 17:00:01,88.4936150854776,A1,4,春
2024-04-16 18:00:01,88.5216626166609,A1,4,春
2024-04-16 19:00:01,89.9349452226897,A1,4,春
2024-04-16 20:00:01,87.1757544678344,A1,4,春
2024-04-16 21:00:01,88.6722455481428,A1,4,春
2024-04-16 22:00:01,88.2495511312128,A1,4,春
2024-04-16 23:00:01,88.2995965657971,A1,4,春
2024-04-17 00:00:00,89.5677377691301,A1,4,春
2024-04-17 01:00:01,89.0932096637457,A1,4,春
2024-04-17 02:00:01,88.0642652066851,A1,4,春
2024-04-17 03:00:01,89.1105261952227,A1,4,春
2024-04-17 04:00:01,90.2575931294681,A1,4,春
2024-04-17 05:00:01,89.2110713791777,A1,4,春
2024-04-17 11:00:01,89.9918364213159,A1,4,春
2024-04-17 12:00:01,88.7241256681542,A1,4,春
2024-04-17 13:00:01,89.5581756416697,A1,4,春
2024-04-17 14:00:01,87.2009498601951,A1,4,春
2024-04-17 19:00:00,89.8461136012292,A1,4,春
2024-04-17 20:00:00,87.0175743659842,A1,4,春
2024-04-17 21:00:00,89.9489589859076,A1,4,春
2024-04-17 22:00:00,112.909234626979,A1,4,春
2024-04-17 23:00:00,102.173514167715,A1,4,春
2024-04-18 00:00:00,89.4147585432192,A1,4,春
2024-04-18 01:00:00,87.5650907795625,A1,4,春
2024-04-18 02:00:00,88.3751990818108,A1,4,春
2024-04-18 03:00:00,89.01289350421,A1,4,春
2024-04-18 04:00:00,90.059151407291,A1,4,春
2024-04-18 05:00:00,87.5608998045637,A1,4,春
2024-04-18 06:00:00,91.0915587653885,A1,4,春
2024-04-18 07:00:00,87.4230766805496,A1,4,春
2024-04-18 08:00:00,87.1833272474686,A1,4,春
2024-04-18 10:00:00,87.8496270916624,A1,4,春
2024-04-18 11:00:00,86.9399080019943,A1,4,春
2024-04-18 12:00:00,90.8057586102187,A1,4,春
2024-04-18 13:00:00,88.2686798262524,A1,4,春
2024-04-18 14:00:00,87.2945467815393,A1,4,春
2024-04-18 15:00:00,87.5016842321742,A1,4,春
2024-04-18 16:00:00,89.3066236987571,A1,4,春
2024-04-18 17:00:00,85.2618483238967,A1,4,春
2024-04-18 18:00:00,85.2990019927188,A1,4,春
2024-04-18 19:00:00,89.8186194038223,A1,4,春
2024-04-18 20:00:00,89.153612861517,A1,4,春
2024-04-18 21:00:00,88.0533606797296,A1,4,春
2024-04-18 22:00:00,88.2916044454326,A1,4,春
2024-04-18 23:00:00,88.8482285373461,A1,4,春
2024-04-19 00:00:00,88.3733188779943,A1,4,春
2024-04-19 01:00:00,87.6035768589784,A1,4,春
2024-04-19 02:00:00,87.5677757140605,A1,4,春
2024-04-19 03:00:00,88.293889744098,A1,4,春
2024-04-19 04:00:00,85.8168629852986,A1,4,春
2024-04-19 05:00:00,89.4496015078926,A1,4,春
2024-04-19 06:00:00,87.534870252182,A1,4,春
2024-04-19 07:00:00,86.2846308801447,A1,4,春
2024-04-19 08:00:00,108.343504796516,A1,4,春
2024-04-19 11:00:00,88.3196485886685,A1,4,春
2024-04-19 12:00:00,85.7879729019269,A1,4,春
2024-04-19 13:00:00,85.8689010478375,A1,4,春
2024-04-19 14:00:00,89.5974945184683,A1,4,春
2024-04-19 15:00:00,86.0699403552007,A1,4,春
2024-04-19 16:00:00,88.4948128916967,A1,4,春
2024-04-19 17:00:00,85.5705131459169,A1,4,春
2024-04-19 18:00:00,88.3881731198556,A1,4,春
2024-04-19 19:00:00,88.2193534831509,A1,4,春
2024-04-19 20:00:00,86.4375892919635,A1,4,春
2024-04-19 21:00:00,87.8868699823785,A1,4,春
2024-04-19 22:00:00,89.5240302091075,A1,4,春
2024-04-19 23:00:00,89.6352255723165,A1,4,春
2024-04-20 00:00:00,86.4497564053981,A1,4,春
2024-04-20 01:00:00,88.5494330120351,A1,4,春
2024-04-20 02:00:00,89.4441873793158,A1,4,春
2024-04-20 03:00:00,87.080808668392,A1,4,春
2024-04-20 04:00:00,88.5174350558638,A1,4,春
2024-04-20 05:00:00,87.0498577715059,A1,4,春
2024-04-20 06:00:00,88.2857190244866,A1,4,春
2024-04-20 07:00:00,88.5313646722857,A1,4,春
2024-04-20 08:00:00,88.3407022343646,A1,4,春
2024-04-20 09:00:00,88.1991187371732,A1,4,春
2024-04-20 10:00:00,85.8913205043599,A1,4,春
2024-04-20 11:00:00,89.257790134074,A1,4,春
2024-04-20 12:00:00,88.2662605498605,A1,4,春
2024-04-20 13:00:00,90.0143713439895,A1,4,春
2024-04-20 14:00:00,88.5730813766474,A1,4,春
2024-04-20 15:00:00,86.4919616606937,A1,4,春
2024-04-20 16:00:00,84.9949963096603,A1,4,春
2024-04-20 17:00:00,89.396141133111,A1,4,春
2024-04-20 18:00:00,87.5386306320323,A1,4,春
2024-04-20 19:00:00,85.081127929709,A1,4,春
2024-04-20 20:00:00,86.3604173904898,A1,4,春
2024-04-20 21:00:00,87.0176839041241,A1,4,春
2024-04-20 22:00:00,106.277641675056,A1,4,春
2024-04-20 23:00:00,87.6083657050382,A1,4,春
2024-04-21 00:00:00,86.1339211680608,A1,4,春
2024-04-21 01:00:00,84.5112108941642,A1,4,春
2024-04-21 02:00:00,86.5671478372334,A1,4,春
2024-04-21 03:00:00,87.5957417587318,A1,4,春
2024-04-21 04:00:00,86.6321378221309,A1,4,春
2024-04-21 05:00:00,89.0491995973815,A1,4,春
2024-04-21 06:00:00,86.9459361090959,A1,4,春
2024-04-21 18:00:00,85.9553879263468,A1,4,春
2024-04-21 19:00:00,86.8280079724789,A1,4,春
2024-04-21 20:00:00,88.7179393540666,A1,4,春
2024-04-21 21:00:00,88.5420707332714,A1,4,春
2024-04-21 22:00:00,86.9142912164223,A1,4,春
2024-04-21 23:00:00,88.8533816417826,A1,4,春
2024-04-22 00:00:00,87.4169847720932,A1,4,春
2024-04-22 00:00:01,85.904508080306,A1,4,春
2024-04-22 01:00:00,85.7430217460892,A1,4,春
2024-04-22 02:00:00,86.5711007676004,A1,4,春
2024-04-22 03:00:00,87.2181151031591,A1,4,春
2024-04-22 05:00:00,86.3922355631261,A1,4,春
2024-04-22 06:00:00,85.92480339243,A1,4,春
2024-04-22 07:00:00,88.8265907516392,A1,4,春
2024-04-22 10:00:00,86.7368477638833,A1,4,春
2024-04-22 12:00:07,85.9949173255639,A1,4,春
2024-04-22 13:00:07,85.6007609350574,A1,4,春
2024-04-22 16:00:07,86.4818578982796,A1,4,春
2024-04-22 17:00:07,87.9097371475176,A1,4,春
2024-04-22 18:00:07,85.8056559145035,A1,4,春
2024-04-22 19:00:07,86.2098622561411,A1,4,春
2024-04-22 20:00:07,88.119075997327,A1,4,春
2024-04-22 22:00:07,86.2859473610552,A1,4,春
2024-04-23 08:00:07,86.8019653609172,A1,4,春
2024-04-23 09:00:07,85.1593420724538,A1,4,春
2024-04-23 10:00:07,87.3249743656433,A1,4,春
2024-04-23 11:00:07,86.6952339366534,A1,4,春
2024-04-23 12:00:07,85.0361808657892,A1,4,春
2024-04-23 13:00:07,83.8927185298099,A1,4,春
2024-04-24 10:00:06,88.048392252761,A1,4,春
2024-04-24 11:00:06,84.6603119107029,A1,4,春
2024-04-24 13:00:08,86.0597313982637,A1,4,春
2024-04-24 14:00:08,85.4947285152865,A1,4,春
2024-04-24 15:00:08,86.0939961605738,A1,4,春
2024-04-24 16:00:08,85.9349885866417,A1,4,春
2024-04-24 17:00:08,85.6539697963696,A1,4,春
2024-04-24 18:00:08,86.3682933194936,A1,4,春
2024-04-24 19:00:08,86.6699982855749,A1,4,春
2024-04-24 20:00:08,86.7041629003032,A1,4,春
2024-04-24 21:00:08,84.5723513630472,A1,4,春
2024-04-24 22:00:08,84.6137529744765,A1,4,春
2024-04-24 23:00:08,83.2801186228312,A1,4,春
2024-04-25 00:00:00,86.0580671462368,A1,4,春
2024-04-25 01:00:08,87.8047884956337,A1,4,春
2024-04-25 02:00:08,85.5775047607557,A1,4,春
2024-04-25 03:00:08,86.7340586527221,A1,4,春
2024-04-25 04:00:08,85.5249460931388,A1,4,春
2024-04-25 05:00:08,84.9233645031946,A1,4,春
2024-04-25 06:00:08,84.901642817375,A1,4,春
2024-04-25 07:00:08,83.3520405743119,A1,4,春
2024-04-25 08:00:08,87.9984307012877,A1,4,春
2024-04-25 09:00:08,87.6616238361448,A1,4,春
2024-04-25 10:00:08,87.7390012145743,A1,4,春
2024-04-25 11:00:08,83.7803239780374,A1,4,春
2024-04-25 12:00:08,84.9381588492031,A1,4,春
2024-04-25 13:00:08,83.1578850017762,A1,4,春
2024-04-25 14:00:08,85.0245113719217,A1,4,春
2024-04-25 15:00:08,86.4423225676174,A1,4,春
2024-04-25 16:00:08,83.3022112522633,A1,4,春
2024-04-25 17:00:08,86.3918015731785,A1,4,春
2024-04-25 18:00:08,85.0688328514485,A1,4,春
2024-04-25 19:00:08,87.2739173708081,A1,4,春
2024-04-25 20:00:08,88.539629961973,A1,4,春
2024-04-25 21:00:08,84.5925794107669,A1,4,春
2024-04-25 22:00:08,85.7781038311419,A1,4,春
2024-04-25 23:00:08,85.2462342296154,A1,4,春
2024-04-26 00:00:01,84.1216630754374,A1,4,春
2024-04-26 01:00:08,84.8859023057146,A1,4,春
2024-04-26 10:00:08,86.3347405134974,A1,4,春
2024-04-26 11:00:08,85.1539155237897,A1,4,春
2024-04-26 12:00:08,86.0159093776786,A1,4,春
2024-04-26 13:00:08,84.698420618988,A1,4,春
2024-04-26 14:00:08,84.488476739981,A1,4,春
2024-04-26 15:00:08,84.3644075852304,A1,4,春
2024-04-26 16:00:08,84.9980643149867,A1,4,春
2024-04-26 17:00:04,86.924593987075,A1,4,春
2024-04-26 18:00:04,84.9312654316643,A1,4,春
2024-04-26 19:00:04,84.3396410410415,A1,4,春
2024-04-26 20:00:04,85.5509772059122,A1,4,春
2024-04-26 21:00:04,84.1079114977598,A1,4,春
2024-04-26 22:00:04,85.5098566179648,A1,4,春
2024-04-26 23:00:04,87.0255944884949,A1,4,春
2024-04-27 00:00:00,85.4213893328157,A1,4,春
2024-04-27 01:00:04,84.8597452790099,A1,4,春
2024-04-27 02:00:04,86.7482083985866,A1,4,春
2024-04-27 03:00:04,82.2101911673181,A1,4,春
2024-04-27 04:00:04,85.2672854520632,A1,4,春
2024-04-27 05:00:04,87.3724111482071,A1,4,春
2024-04-27 06:00:04,85.8376445730705,A1,4,春
2024-04-27 08:00:04,88.1778752641934,A1,4,春
2024-04-27 09:00:04,84.307898639508,A1,4,春
2024-04-27 10:00:04,85.654884271258,A1,4,春
2024-04-27 11:00:04,85.5966134429473,A1,4,春
2024-04-27 12:00:04,75.7037336052073,A1,4,春
2024-04-27 13:00:04,87.6429035412301,A1,4,春
2024-04-27 14:00:04,85.0038009760034,A1,4,春
2024-04-27 15:00:04,86.0612598937374,A1,4,春
2024-04-27 16:00:04,84.9563633086446,A1,4,春
2024-04-27 17:00:04,84.9176159332391,A1,4,春
2024-04-27 18:00:04,83.6891479307047,A1,4,春
2024-04-27 19:00:04,84.3609669435066,A1,4,春
2024-04-27 20:00:04,83.3498288106543,A1,4,春
2024-04-27 21:00:04,86.2939921851201,A1,4,春
2024-04-27 22:00:04,85.0937543425323,A1,4,春
2024-04-27 23:00:04,86.0829333359923,A1,4,春
2024-04-28 00:00:01,85.7040355756262,A1,4,春
2024-04-28 01:00:04,85.830692032363,A1,4,春
2024-04-28 02:00:04,85.190845401632,A1,4,春
2024-04-28 03:00:04,85.6859257648531,A1,4,春
2024-04-28 04:00:04,85.7790475686056,A1,4,春
2024-04-28 05:00:04,85.0210500155525,A1,4,春
2024-04-28 06:00:04,85.9530517715775,A1,4,春
2024-04-28 07:00:04,83.0303045585314,A1,4,春
2024-04-28 09:00:04,81.7609985921149,A1,4,春
2024-04-28 10:00:04,87.1051634904555,A1,4,春
2024-04-28 11:00:04,84.1847959630691,A1,4,春
2024-04-28 12:00:04,87.3416405648424,A1,4,春
2024-04-28 13:00:04,85.3324962540108,A1,4,春
2024-04-28 14:00:04,84.9586073159363,A1,4,春
2024-04-28 15:00:04,84.2082911056192,A1,4,春
2024-04-28 16:00:04,83.4451560262498,A1,4,春
2024-04-28 17:00:04,85.3791453926476,A1,4,春
2024-04-28 18:00:04,83.562129312417,A1,4,春
2024-04-28 19:00:04,84.0109187630689,A1,4,春
2024-04-28 20:00:04,82.7735712706761,A1,4,春
2024-04-28 21:00:04,85.6845361613763,A1,4,春
2024-04-28 22:00:04,84.5529500707364,A1,4,春
2024-04-28 23:00:04,85.314847900661,A1,4,春
2024-04-29 00:00:00,82.8386687005423,A1,4,春
2024-04-29 01:00:04,83.894274982244,A1,4,春
2024-04-29 02:00:04,86.1820898456214,A1,4,春
2024-04-29 03:00:04,84.9827951433803,A1,4,春
2024-04-29 04:00:04,83.0373430823751,A1,4,春
2024-04-29 05:00:04,83.9628251590314,A1,4,春
2024-04-29 06:00:04,83.7508449696907,A1,4,春
2024-04-29 07:00:04,83.4050529416955,A1,4,春
2024-04-29 08:00:04,83.1438627473347,A1,4,春
2024-04-29 09:00:04,84.0371393169765,A1,4,春
2024-04-29 10:00:04,84.6829235784186,A1,4,春
2024-04-29 11:00:04,84.5555621046643,A1,4,春
2024-04-29 12:00:04,83.1153037014975,A1,4,春
2024-04-29 13:00:04,84.4398080734867,A1,4,春
2024-04-29 14:00:04,82.3428249351269,A1,4,春
2024-04-29 15:00:04,85.5105273653632,A1,4,春
2024-05-14 15:00:08,82.7151092145648,A1,5,春
2024-05-14 16:00:08,83.9737867050949,A1,5,春
2024-05-14 17:00:08,82.896488700371,A1,5,春
2024-05-14 18:00:08,85.1950358145085,A1,5,春
2024-05-14 19:00:08,84.272687974138,A1,5,春
2024-05-14 20:00:08,83.0126322678426,A1,5,春
2024-05-14 21:00:08,83.1594777443199,A1,5,春
2024-05-14 22:00:08,84.5989087439092,A1,5,春
2024-05-15 00:00:00,83.4958784596859,A1,5,春
2024-05-15 09:00:08,82.9802897824171,A1,5,春
2024-05-15 11:00:08,84.3929685378738,A1,5,春
2024-05-15 12:00:08,84.0463501112736,A1,5,春
2024-05-15 13:00:08,85.008948524332,A1,5,春
2024-05-15 14:00:08,83.524717276945,A1,5,春
2024-05-15 15:00:08,84.9597436449496,A1,5,春
2024-05-15 16:00:08,83.9147780126652,A1,5,春
2024-05-15 17:00:08,84.7119955936297,A1,5,春
2024-05-15 18:00:08,82.656562165626,A1,5,春
2024-05-15 19:00:08,85.1017482146688,A1,5,春
2024-05-15 20:00:08,83.8064688426062,A1,5,春
2024-05-15 21:00:08,82.9450323856318,A1,5,春
2024-05-15 22:00:08,83.433057124622,A1,5,春
2024-05-15 23:00:08,83.5830058026158,A1,5,春
