设备编号,维护日期,维护类型,维护前透水率,维护后透水率,提升量
A1,2024-05-18,中维护,82.6927,93.2688,10.5762
A1,2024-07-19,中维护,92.1423,93.2688,1.1266
A1,2024-10-01,中维护,93.257,93.2688,0.0118
A1,2024-12-02,大维护,73.4477,93.2688,19.8212
A1,2025-01-21,中维护,70.058,93.2688,23.2108
A1,2025-03-14,中维护,80.5585,93.2688,12.7103
A1,2025-05-10,中维护,99.6797,93.2688,-6.4109
A1,2025-06-29,中维护,96.5524,93.2688,-3.2836
A1,2025-09-15,中维护,88.6637,93.2688,4.6051
A1,2025-11-14,大维护,77.485,93.2688,15.7838
A1,2026-01-19,中维护,93.2688,93.2688,0.0
A1,2026-03-07,中维护,72.7135,93.2688,20.5553
A10,2024-05-25,中维护,119.4977,94.8061,-24.6916
A10,2024-07-25,大维护,134.9355,94.8061,-40.1294
A10,2024-10-01,中维护,123.6129,94.8061,-28.8068
A10,2024-11-20,中维护,96.0559,94.8061,-1.2498
A10,2025-01-18,中维护,67.5517,94.8061,27.2544
A10,2025-02-24,中维护,74.564,94.8061,20.2421
A10,2025-04-11,大维护,79.5784,94.8061,15.2278
A10,2025-06-05,中维护,85.2401,94.8061,9.566
A10,2025-08-19,中维护,98.3119,94.8061,-3.5058
A10,2025-11-01,中维护,62.6557,94.8061,32.1504
A10,2026-01-01,大维护,35.733,94.8061,59.0731
A10,2026-02-13,中维护,26.431,94.8061,68.3751
A10,2026-03-26,中维护,29.1577,94.8061,65.6484
A2,2024-06-04,中维护,67.7119,73.838,6.1261
A2,2024-08-16,中维护,79.1564,73.838,-5.3183
A2,2024-11-03,中维护,72.6677,73.838,1.1703
A2,2025-01-01,中维护,63.0623,73.838,10.7757
A2,2025-02-20,中维护,52.6152,73.838,21.2228
A2,2025-04-07,中维护,61.8886,73.838,11.9494
A2,2025-05-28,中维护,64.0634,73.838,9.7746
A2,2025-07-21,中维护,78.9412,73.838,-5.1032
A2,2025-10-06,大维护,69.3407,73.838,4.4973
A2,2025-12-10,大维护,48.8666,73.838,24.9715
A2,2026-01-29,大维护,73.838,73.838,0.0
A2,2026-03-12,中维护,43.3494,73.838,30.4887
A3,2024-05-29,中维护,111.8139,93.5884,-18.2255
A3,2024-07-18,中维护,114.9011,93.5884,-21.3127
A3,2024-09-30,中维护,93.5884,93.5884,0.0
A3,2024-11-30,中维护,70.0509,93.5884,23.5375
A3,2025-01-17,中维护,69.0923,93.5884,24.4961
A3,2025-03-05,中维护,70.9856,93.5884,22.6028
A3,2025-05-06,中维护,76.1348,93.5884,17.4536
A3,2025-07-02,大维护,90.9992,93.5884,2.5892
A3,2025-09-15,中维护,90.0217,93.5884,3.5667
A3,2025-11-17,大维护,82.6297,93.5884,10.9587
A3,2026-01-20,中维护,59.7046,93.5884,33.8838
A3,2026-02-24,中维护,62.0358,93.5884,31.5526
A3,2026-04-05,中维护,68.5029,93.5884,25.0855
A4,2024-05-28,中维护,95.5249,95.5249,0.0
A4,2024-07-16,中维护,81.9094,95.5249,13.6155
A4,2024-09-21,中维护,84.6593,95.5249,10.8656
A4,2024-11-20,中维护,71.8154,95.5249,23.7094
A4,2025-01-18,中维护,58.1391,95.5249,37.3858
A4,2025-02-20,中维护,86.6546,95.5249,8.8703
A4,2025-04-10,中维护,95.4755,95.5249,0.0493
A4,2025-06-04,中维护,98.748,95.5249,-3.2231
A4,2025-08-06,中维护,101.2337,95.5249,-5.7088
A4,2025-10-10,中维护,101.1964,95.5249,-5.6716
A4,2025-12-09,中维护,75.6421,95.5249,19.8828
A4,2026-01-21,中维护,76.528,95.5249,18.9968
A4,2026-03-12,中维护,87.292,95.5249,8.2329
A5,2024-05-19,中维护,99.7147,97.0097,-2.7049
A5,2024-07-18,中维护,114.6032,97.0097,-17.5935
A5,2024-09-21,大维护,106.6582,97.0097,-9.6484
A5,2024-11-24,中维护,83.6697,97.0097,13.34
A5,2025-01-21,中维护,87.5205,97.0097,9.4893
A5,2025-02-25,中维护,100.8916,97.0097,-3.8819
A5,2025-04-15,中维护,97.1925,97.0097,-0.1827
A5,2025-06-14,中维护,89.5928,97.0097,7.4169
A5,2025-08-19,中维护,96.7769,97.0097,0.2328
A5,2025-11-06,中维护,59.1658,97.0097,37.844
A5,2026-01-08,中维护,97.0097,97.0097,0.0
A5,2026-02-26,中维护,97.0097,97.0097,0.0
A5,2026-04-03,中维护,97.0097,97.0097,0.0
A6,2024-06-06,中维护,38.1851,74.0076,35.8224
A6,2024-08-27,中维护,53.0823,74.0076,20.9252
A6,2024-11-06,大维护,40.3889,74.0076,33.6187
A6,2024-12-31,中维护,29.6357,74.0076,44.3718
A6,2025-02-19,大维护,46.9414,74.0076,27.0662
A6,2025-04-11,中维护,55.837,74.0076,18.1706
A6,2025-06-04,中维护,74.9217,74.0076,-0.9141
A6,2025-08-23,中维护,86.6134,74.0076,-12.6059
A6,2025-11-02,中维护,74.0076,74.0076,0.0
A6,2026-01-03,中维护,73.553,74.0076,0.4545
A6,2026-02-15,中维护,69.7246,74.0076,4.2829
A6,2026-03-25,中维护,72.9085,74.0076,1.099
A7,2024-05-18,中维护,83.1167,91.4928,8.3761
A7,2024-07-04,中维护,82.697,91.4928,8.7958
A7,2024-09-24,中维护,91.4928,91.4928,0.0
A7,2024-11-22,中维护,85.9781,91.4928,5.5147
A7,2025-01-20,中维护,76.9314,91.4928,14.5614
A7,2025-02-24,中维护,91.4928,91.4928,0.0
A7,2025-04-16,大维护,84.8557,91.4928,6.6371
A7,2025-06-16,中维护,98.3998,91.4928,-6.907
A7,2025-09-01,中维护,94.9477,91.4928,-3.4549
A7,2025-10-18,中维护,78.019,91.4928,13.4738
A7,2025-12-22,中维护,64.2675,91.4928,27.2253
A7,2026-02-08,大维护,91.4928,91.4928,0.0
A7,2026-03-25,中维护,91.4928,91.4928,0.0
A8,2024-06-02,中维护,111.815,95.8577,-15.9573
A8,2024-08-10,中维护,127.0001,95.8577,-31.1424
A8,2024-10-31,中维护,86.4246,95.8577,9.4331
A8,2025-01-03,中维护,85.5189,95.8577,10.3388
A8,2025-02-13,中维护,69.6625,95.8577,26.1952
A8,2025-03-27,中维护,81.6967,95.8577,14.161
A8,2025-05-13,中维护,84.9722,95.8577,10.8856
A8,2025-07-06,中维护,101.3846,95.8577,-5.5269
A8,2025-09-08,中维护,91.675,95.8577,4.1828
A8,2025-11-03,中维护,64.5154,95.8577,31.3423
A8,2025-12-28,中维护,63.8663,95.8577,31.9914
A8,2026-02-09,中维护,95.8577,95.8577,0.0
A8,2026-03-31,中维护,95.8577,95.8577,0.0
A9,2024-05-30,中维护,77.2487,82.2958,5.0471
A9,2024-08-02,中维护,101.0336,82.2958,-18.7378
A9,2024-10-15,中维护,84.8878,82.2958,-2.592
A9,2024-12-15,中维护,74.1845,82.2958,8.1113
A9,2025-01-31,中维护,52.1097,82.2958,30.1861
A9,2025-03-19,中维护,64.0113,82.2958,18.2846
A9,2025-05-15,大维护,66.4798,82.2958,15.816
A9,2025-07-09,中维护,73.0903,82.2958,9.2055
A9,2025-09-12,中维护,79.3829,82.2958,2.913
A9,2025-11-16,中维护,69.8194,82.2958,12.4764
A9,2026-01-09,中维护,57.6564,82.2958,24.6394
A9,2026-02-23,中维护,46.9294,82.2958,35.3664
A9,2026-04-01,大维护,68.0101,82.2958,14.2857
