device_code,predict_start_time,predict_start_per,daily_decline_rate,annual_decline_rate,mid_gain,big_gain,mid_interval_days,mid_interval_days_count,big_interval_days,big_interval_days_count,start_month,start_month_adjustment
A1,2026-04-10,92.5735300541663,-0.346471,-126.46199,23.91196,12.001,73.11111111111111,10,347.0,2,4,-0.666672357270869
A10,2026-04-11,49.6715086978716,-0.403589,-147.309901,15.93077,13.480666666666666,74.44444444444444,10,262.5,3,4,-0.666672357270869
A2,2026-04-10,42.7227376483053,-0.354568,-129.417165,16.206477777777778,21.308233333333334,80.75,9,57.5,3,4,-0.666672357270869
A3,2026-04-10,79.4472088487124,-0.389066,-142.00923,19.548,14.57765,67.6,11,138.0,2,4,-0.666672357270869
A4,2026-04-10,108.213060104226,-0.335858,-122.588188,23.605976923076923,16.58489375,54.416666666666664,13,218.42857142857142,0,4,-0.666672357270869
A5,2026-04-10,84.1408778645031,-0.365808,-133.51986,17.45168333333333,5.1588,62.18181818181818,12,218.42857142857142,1,4,-0.666672357270869
A6,2026-04-10,80.6140903118256,-0.390208,-142.425764,26.708479999999998,24.47855,73.0,10,105.0,2,4,-0.666672357270869
A7,2026-04-10,63.9129069852035,-0.355206,-129.650263,15.777809090909091,23.532249999999998,67.6,11,298.0,2,4,-0.666672357270869
A8,2026-04-10,60.6648548672115,-0.365275,-133.325283,15.217608333333333,16.58489375,55.583333333333336,13,218.42857142857142,0,4,-0.666672357270869
A9,2026-04-10,82.7389020368447,-0.34679,-126.578202,18.453409999999998,18.142,63.4,11,321.0,2,4,-0.666672357270869
