device_code,predict_start_time,predict_start_per,daily_decline_rate,annual_decline_rate,mid_freq_per_year,中维护_count_total,big_freq_per_year,大维护_count_total
A1,2026-04-10,92.5735300541663,-0.346471,-126.46199,5.547112462006079,10,1.109422492401216,2
A10,2026-04-11,49.6715086978716,-0.403589,-147.309901,5.447761194029851,10,1.6343283582089552,3
A2,2026-04-10,42.7227376483053,-0.354568,-129.417165,5.085139318885449,9,1.695046439628483,3
A3,2026-04-10,79.4472088487124,-0.389066,-142.00923,5.939349112426036,11,1.0798816568047338,2
A4,2026-04-10,108.213060104226,-0.335858,-122.588188,7.26646248085758,13,0.1,0
A5,2026-04-10,84.1408778645031,-0.365808,-133.51986,6.4035087719298245,12,0.533625730994152,1
A6,2026-04-10,80.6140903118256,-0.390208,-142.425764,5.555555555555555,10,1.1111111111111112,2
A7,2026-04-10,63.9129069852035,-0.355206,-129.650263,5.939349112426036,11,1.0798816568047338,2
A8,2026-04-10,60.6648548672115,-0.365275,-133.325283,7.113943028485758,13,0.1,0
A9,2026-04-10,82.7389020368447,-0.34679,-126.578202,5.9836065573770485,11,1.0879284649776453,2
