device_code,区段编号,区段起点,区段终点,样本数,覆盖天数,下降速率(每天),下降速率(每年),截距,R2,是否负斜率
A1,1,2024-04-03 01:00:05,2024-05-15 00:00:00,454,41.9583,-0.2666868481803264,-97.34069958581914,92.28222814029681,0.4637798763845242,1
A1,2,2024-05-21 00:00:01,2024-07-15 18:00:03,855,55.75,-0.10497299816095015,-38.315144328746804,104.30245997308846,0.10674484231791193,1
A1,3,2024-07-22 00:00:03,2024-09-27 23:00:08,768,67.9584,-0.2778761000551504,-101.4247765201299,115.75380374572141,0.598358273684687,1
A1,4,2024-10-04 02:00:08,2024-11-29 00:00:00,1055,55.9166,-0.41358470563531186,-150.95841755688883,97.93222272111436,0.9229503379961024,1
A1,5,2024-12-05 00:00:00,2025-01-18 00:00:00,798,44.0,-0.49181196501471175,-179.51136723036979,92.32696140630173,0.8803965436212845,1
A1,6,2025-01-24 00:00:00,2025-03-11 00:00:00,559,46.0,-0.32161863260631274,-117.39080090130415,95.43728145187742,0.8328824491497417,1
A1,7,2025-03-17 18:00:00,2025-05-06 23:00:00,657,50.2083,-0.28234521663313394,-103.0560040710939,112.62007978174292,0.6600557596026191,1
A1,8,2025-05-13 00:00:00,2025-06-26 00:00:00,668,44.0,-0.1702346718692604,-62.135655232280044,105.14195400931622,0.26960720693081996,1
A1,9,2025-07-02 00:00:00,2025-09-11 21:00:00,1391,71.875,-0.1670643635619849,-60.978492700124484,108.07300283508646,0.4206197036774961,1
A1,10,2025-09-18 00:00:00,2025-11-11 00:00:00,1021,54.0,-0.5798702802245611,-211.6526522819648,109.40885379245479,0.940139663248834,1
A1,11,2025-11-17 00:00:00,2026-01-16 00:00:00,1028,60.0,-0.5842876443127581,-213.26499017415674,78.32770777641873,0.9726742618244216,1
A1,12,2026-01-22 04:00:00,2026-03-03 22:00:00,157,40.75,-0.5452442954236375,-199.0141678296277,94.8351068608977,0.9075088784058122,1
A1,13,2026-03-10 04:00:00,2026-04-10 22:00:00,128,31.75,-0.29852795419461836,-108.9627032810357,103.26164958367328,0.5254121972522582,1
A10,1,2024-04-04 21:00:05,2024-05-21 23:00:08,545,47.0834,-0.15174652639988828,-55.387482135959225,126.7273359704047,0.5842182218918546,1
A10,2,2024-05-28 00:00:00,2024-07-21 18:00:03,788,54.75,-0.08221072811663574,-30.006915762572046,142.51446462334656,0.057465940766408874,1
A10,3,2024-07-28 00:00:03,2024-09-27 23:00:08,753,61.9584,-0.3770826969483346,-137.63518438614213,151.46998275180783,0.6713488121212341,1
A10,4,2024-10-04 00:00:01,2024-11-17 00:00:00,856,44.0,-0.6908221927662128,-252.15010035966768,126.99740545434692,0.8783955129868904,1
A10,5,2024-11-23 00:00:00,2025-01-15 00:00:00,1018,53.0,-0.5853418965737689,-213.64979224942564,100.1697880731928,0.9219960155165818,1
