device_code,有效区段数,负斜率区段数,平均区段下降速率(每天),平均区段下降速率(每年),中位区段斜率_负值,平均R2
A1,13,13,-0.346471,-126.46199,-0.298528,0.653933
A10,14,14,-0.403589,-147.309901,-0.414428,0.710113
A2,13,13,-0.354568,-129.417165,-0.356829,0.737138
A3,13,13,-0.389066,-142.00923,-0.409199,0.693766
A4,14,14,-0.335858,-122.588188,-0.319138,0.647932
A5,13,13,-0.365808,-133.51986,-0.319234,0.678536
A6,13,13,-0.390208,-142.425764,-0.334103,0.756266
A7,14,14,-0.355206,-129.650263,-0.350175,0.677415
A8,14,14,-0.365275,-133.325283,-0.407742,0.653897
A9,13,13,-0.34679,-126.578202,-0.297299,0.687668
