设备编号,自然下降速率(每天),自然下降速率(每30天),自然下降速率(每年),拟合R2,用于拟合样本数,备注
A1,-0.023624,-0.708724,-8.622809,0.0966,9526,已排除维护日前后3天
A10,-0.122342,-3.670268,-44.654929,0.7178,9373,已排除维护日前后3天
A2,-0.027228,-0.816842,-9.93824,0.1649,9989,已排除维护日前后3天
A3,-0.036619,-1.098559,-13.365805,0.2059,10670,已排除维护日前后3天
A4,0.051394,1.541814,18.758741,0.2841,10165,已排除维护日前后3天
A5,-0.081112,-2.433367,-29.605963,0.6132,10689,已排除维护日前后3天
A6,0.0869,2.607001,31.718517,0.5721,10365,已排除维护日前后3天
A7,-0.029396,-0.881878,-10.729515,0.1706,10434,已排除维护日前后3天
A8,-0.077854,-2.33562,-28.416712,0.6382,10150,已排除维护日前后3天
A9,-0.025957,-0.778697,-9.474152,0.1663,9820,已排除维护日前后3天
