device_code,清洗后样本数,平均透水率,中位透水率,最小透水率,最大透水率,标准差,变异系数CV,中维护次数,大维护次数,平均维护提升量,维护提升量中位数,维护有效率,有效区段数,负斜率区段数,平均区段下降速率(每天),平均区段下降速率(每年)
A1,10382,91.5102,95.0821,38.6385,140.3704,15.1466,0.1655,10,2,21.9268,21.7062,1.0,13,13,-0.3465,-126.462
A10,10364,94.8472,94.5041,26.431,180.0,28.2072,0.2974,10,3,15.3654,15.7924,1.0,14,14,-0.4036,-147.3099
A2,10719,73.7308,73.7892,28.0564,121.7187,12.944,0.1756,9,3,17.4819,17.1326,1.0,13,13,-0.3546,-129.4172
A3,11512,93.64,93.4407,51.502,154.5688,15.6051,0.1666,8,2,18.5539,18.1576,1.0,13,13,-0.3891,-142.0092
A4,11230,91.9967,96.7412,31.5565,143.7476,18.6411,0.2026,13,0,23.606,23.6315,1.0,14,14,-0.3359,-122.5882
A5,11704,93.1376,99.2519,34.5338,149.8112,19.9612,0.2143,12,1,16.5061,14.6868,0.9231,13,13,-0.3658,-133.5199
A6,11344,74.0282,73.3208,28.6461,155.9218,22.0355,0.2977,10,2,26.3368,23.3132,1.0,13,13,-0.3902,-142.4258
A7,11520,89.9044,91.9381,39.4054,158.571,13.5594,0.1508,11,2,16.9708,18.1878,1.0,14,14,-0.3552,-129.6503
A8,11089,95.5385,95.0266,37.6306,165.147,18.8166,0.197,12,0,15.2176,16.2133,1.0,14,14,-0.3653,-133.3253
A9,10768,82.3169,81.1552,44.188,139.3892,12.5402,0.1523,10,2,18.4015,19.3414,1.0,13,13,-0.3468,-126.5782
